vacID,dateID,province,partial,fully,booster
837,65,ON,32026035,12106871,7160512
838,65,QC,18927974,7125604,4307006
839,65,NL,1264499,476756,289311
840,65,NB,1737641,656976,382776
841,65,NS,2217196,831009,503257
842,65,PE,372378,143061,79554
843,65,YT,91117,34876,19706
844,65,NT,99908,39328,19602
845,65,NU,76392,28720,14257
846,66,BC,11495364,4325534,2671344
847,66,AB,8586230,3381375,1610588
848,66,SK,2336814,900769,483213
849,66,MB,2863534,1108820,593160
850,66,ON,32084745,12122293,7189977
851,66,QC,19017481,7135087,4339466
852,66,NL,1264499,476756,289311
853,66,NB,1740082,657661,384305
854,66,NS,2235685,842600,503257
855,66,PE,373337,143341,80143
856,66,YT,91357,34951,19851
857,66,NT,100094,39402,19685
858,66,NU,76670,28828,14376
859,67,BC,11503889,4328412,2676557
860,67,AB,8603560,3386264,1620011
861,67,SK,2336814,900769,483213
862,67,MB,2863534,1108820,593160
863,67,ON,32177268,12134753,7220800
864,67,QC,19183536,7140960,4368220
865,67,NL,1264499,476756,289311
866,67,NB,1742093,658240,385579
867,67,NS,2235685,842600,503257
868,67,PE,373938,143496,80515
869,67,YT,91517,35022,19935
870,67,NT,100212,39446,19736
871,67,NU,77083,29021,14519
872,68,BC,11503889,4328412,2676557
873,68,AB,8621854,3389886,1629405
874,68,SK,2336814,900769,483213
875,68,MB,2863534,1108820,593160
876,68,ON,32371402,12146018,7251451
877,68,QC,19425080,7145840,4392470
878,68,NL,1264499,476756,289311
879,68,NB,1743499,658382,386526
880,68,NS,2235685,842600,503257
881,68,PE,374491,143567,80907
882,68,YT,91517,35022,19935
883,68,NT,100512,39484,19825
884,68,NU,77083,29021,14519
885,69,BC,11571091,4351124,2716306
886,69,AB,8664335,3385976,1638454
887,69,SK,2405480,913935,491475
888,69,MB,2863534,1108820,593160
889,69,ON,32572210,12156542,7279492
890,69,QC,19629466,7149006,4409930
891,69,NL,1264499,476756,289311
892,69,NB,1744806,658615,387467
893,69,NS,2235685,842600,503257
894,69,PE,375687,143741,81338
895,69,YT,91707,35089,20047
896,69,NT,100512,39484,19825
897,69,NU,77083,29021,14519
898,70,BC,11605045,4355573,2743666
899,70,AB,8698772,3389176,1646253
900,70,SK,2421490,912271,493272
901,70,MB,2863534,1108820,593160
902,70,ON,32759866,12167164,7305474
903,70,QC,19824657,7153033,4427273
904,70,NL,1264499,476756,289311
905,70,NB,1746304,658872,388550
906,70,NS,2235685,842600,503257
907,70,PE,376855,143804,81616
908,70,YT,91707,35089,20047
909,70,NT,100831,39525,19911
