Surrogate Keys,date,prname,province,totalcases,numdeaths,recovery,partial,fully,booster
734,2022-01-29,Quebec,QC,861292,12778,791198,17911880,6869379,3612295
735,2022-01-29,Newfoundland and Labrador,NL,16966,38,14231,948615,454481,0
736,2022-01-29,New Brunswick,NB,28442,228,22405,1639654,631670,317456
737,2022-01-29,Nova Scotia,NS,37200,142,31208,2094109,801014,418261
738,2022-01-29,Prince Edward Island,PE,7462,10,4172,331772,135649,48502
739,2022-01-29,Yukon,YT,3076,16,2852,89982,34664,17977
740,2022-01-29,Northwest Territories,NT,5607,15,4438,95869,37421,17883
741,2022-01-29,Nunavut,NU,1657,5,1187,68345,25367,11123
742,2022-02-05,British Columbia,BC,331964,2675,302788,10872777,4177582,2230209
743,2022-02-05,Alberta,AB,505406,3684,467088,8345443,3295207,1483339
744,2022-02-05,Saskatchewan,SK,122525,1006,111734,2328769,899228,451254
745,2022-02-05,Manitoba,MB,122632,1585,103624,2764802,1069858,542865
746,2022-02-05,Ontario,ON,1074251,11991,1002880,30949011,11802058,6561032
747,2022-02-05,Quebec,QC,882336,13062,818774,18258146,6951500,3858253
748,2022-02-05,Newfoundland and Labrador,NL,18464,47,16437,957817,462006,0
749,2022-02-05,New Brunswick,NB,30602,258,26136,1674393,638399,343140
750,2022-02-05,Nova Scotia,NS,39993,157,34587,2145666,809686,458668
751,2022-02-05,Prince Edward Island,PE,8842,12,6115,348469,137486,62442
752,2022-02-05,Yukon,YT,3202,19,3041,90574,34856,18308
753,2022-02-05,Northwest Territories,NT,6566,16,5379,96926,38000,18272
754,2022-02-05,Nunavut,NU,1929,5,1444,69834,25925,11770
755,2022-02-12,British Columbia,BC,339736,2747,307963,11068342,4207822,2386677
756,2022-02-12,Alberta,AB,514690,3780,486270,8409914,3322760,1518309
757,2022-02-12,Saskatchewan,SK,125756,1056,113023,2329597,899829,451254
758,2022-02-12,Manitoba,MB,125844,1619,110432,2795792,1081217,559562
759,2022-02-12,Ontario,ON,1092008,12219,1030423,31248014,11887639,6726615
760,2022-02-12,Quebec,QC,899235,13293,844373,18485021,7014095,4009185
761,2022-02-12,Newfoundland and Labrador,NL,19954,54,18048,961944,465392,0
762,2022-02-12,New Brunswick,NB,32610,286,28429,1693505,643911,355154
763,2022-02-12,Nova Scotia,NS,42230,172,37034,2175757,817844,479356
764,2022-02-12,Prince Edward Island,PE,10105,14,7548,355229,138942,67369
765,2022-02-12,Yukon,YT,3314,20,3195,91299,35180,18661
766,2022-02-12,Northwest Territories,NT,7440,17,6447,97806,38516,18543
767,2022-02-12,Nunavut,NU,2155,5,1640,71668,26645,12523
768,2022-02-19,British Columbia,BC,344262,2786,307963,11216953,4238801,2497755
769,2022-02-19,Alberta,AB,520200,3854,500756,8455738,3338611,1542068
770,2022-02-19,Saskatchewan,SK,127162,1093,113023,2329597,899829,451254
771,2022-02-19,Manitoba,MB,128486,1649,115473,2818315,1090744,570578
772,2022-02-19,Ontario,ON,1105523,12394,1051247,31467215,11955214,6847871
773,2022-02-19,Quebec,QC,910977,13449,870517,18621247,7055232,4096080
774,2022-02-19,Newfoundland and Labrador,NL,21613,62,19473,967199,469904,0
775,2022-02-19,New Brunswick,NB,34222,298,30488,1710295,648317,366149
776,2022-02-19,Nova Scotia,NS,43833,185,39990,2196425,824695,492234
777,2022-02-19,Prince Edward Island,PE,11484,15,9359,355229,138942,67369
778,2022-02-19,Yukon,YT,3369,20,3301,89370,34032,18868
779,2022-02-19,Northwest Territories,NT,8124,18,7494,98529,38816,18881
780,2022-02-19,Nunavut,NU,2414,5,1974,73331,27289,13182
781,2022-02-26,British Columbia,BC,347729,2851,307963,11310191,4262169,2562949
782,2022-02-26,Alberta,AB,524329,3916,510371,8486394,3349593,1557488
783,2022-02-26,Saskatchewan,SK,128263,1137,113023,2329597,899829,451254
784,2022-02-26,Manitoba,MB,130277,1675,119754,2830568,1095447,576911
785,2022-02-26,Ontario,ON,1117883,12519,1069795,31645374,11998022,6958202
786,2022-02-26,Quebec,QC,920174,13556,886721,18723958,7077996,4170019
787,2022-02-26,Newfoundland and Labrador,NL,23443,65,20992,970503,472741,0
788,2022-02-26,New Brunswick,NB,36417,301,32734,1722288,652502,373196
789,2022-02-26,Nova Scotia,NS,45351,192,41435,2210140,829001,498548
790,2022-02-26,Prince Edward Island,PE,13361,16,10326,363678,140935,73514
791,2022-02-26,Yukon,YT,3438,21,3362,90058,34338,19214
792,2022-02-26,Northwest Territories,NT,8656,19,8089,98969,38996,19101
793,2022-02-26,Nunavut,NU,2690,5,2299,74352,27776,13523
