covidID,dateID,province,totalcases,numdeaths,recovery
1413,109,NS,139013,724,43018
1414,109,PE,56201,88,41242
1415,109,YT,4989,32,4489
1416,109,NT,11511,22,11327
1417,109,NU,3531,7,3435
1418,110,BC,395367,5139,307963
1419,110,AB,627702,5555,523679
1420,110,SK,153048,1873,113023
1421,110,MB,154346,2439,129338
1422,110,ON,1578892,16594,1556170
1423,110,QC,1304983,17519,1099129
1424,110,NL,54533,307,25162
1425,110,NB,87774,812,65138
1426,110,NS,139671,746,43018
1427,110,PE,56261,90,41242
1428,110,YT,4989,32,4489
1429,110,NT,11511,22,11327
1430,110,NU,3531,7,3435
1431,111,BC,395709,5157,307963
1432,111,AB,628149,5566,523679
1433,111,SK,153255,1889,113023
1434,111,MB,154494,2456,129338
1435,111,ON,1583510,16655,1561033
1436,111,QC,1308606,17569,1099129
1437,111,NL,54583,314,25162
1438,111,NB,88153,822,65138
1439,111,NS,140111,771,43018
1440,111,PE,56340,92,41242
1441,111,YT,4989,32,4489
1442,111,NT,11511,22,11327
1443,111,NU,3531,7,3435
1444,112,BC,396066,5192,307963
1445,112,AB,628576,5580,523679
1446,112,SK,153457,1892,113023
1447,112,MB,154588,2460,129338
1448,112,ON,1587843,16696,1565480
1449,112,QC,1312008,17624,1099129
1450,112,NL,54646,314,25162
1451,112,NB,88503,825,65138
1452,112,NS,140492,786,43018
1453,112,PE,56408,92,41242
1454,112,YT,4989,32,4489
1455,112,NT,11511,22,11327
1456,112,NU,3531,7,3435
1457,113,BC,396472,5218,307963
1458,113,AB,628946,5593,523679
1459,113,SK,153651,1901,113023
1460,113,MB,154712,2464,129338
1461,113,ON,1591788,16748,1569873
1462,113,QC,1315316,17666,1099129
1463,113,NL,54757,321,25162
1464,113,NB,88866,834,65138
1465,113,NS,140793,794,43018
1466,113,PE,56456,92,41242
1467,113,YT,4989,32,4489
1468,113,NT,11511,22,11327
1469,113,NU,3531,7,3435
1470,114,BC,396817,5249,307963
1471,114,AB,629306,5604,523679
1472,114,SK,153868,1911,113023
1473,114,MB,154862,2466,129338
1474,114,ON,1595697,16806,1573845
1475,114,QC,1318547,17703,1099129
1476,114,NL,54824,321,25162
1477,114,NB,89226,842,65138
1478,114,NS,141038,799,43018
1479,114,PE,56523,93,41242
1480,114,YT,4989,32,4489
1481,114,NT,11511,22,11327
1482,114,NU,3531,7,3435
1483,115,BC,397189,5278,307963
1484,115,AB,629687,5619,523679
1485,115,SK,154105,1921,113023
1486,115,MB,154992,2470,129338
1487,115,ON,1599432,16856,1577762
1488,115,QC,1321478,17755,1099129
1489,115,NL,54897,333,25162
1490,115,NB,89614,848,65138
1491,115,NS,141300,805,43018
1492,115,PE,56606,95,41242
1493,115,YT,4989,32,4489
1494,115,NT,11511,22,11327
1495,115,NU,3531,7,3435
1496,116,BC,397593,5308,307963
1497,116,AB,630085,5631,523679
1498,116,SK,154327,1931,113023
1499,116,MB,155147,2470,129338
1500,116,ON,1603002,16902,1581453
1501,116,QC,1324234,17797,1099129
1502,116,NL,54954,333,25162
1503,116,NB,89927,856,65138
1504,116,NS,141659,816,43018
1505,116,PE,56726,95,41242
1506,116,YT,4989,32,4489
1507,116,NT,11511,22,11327
1508,116,NU,3531,7,3435
1509,117,BC,398050,5339,307963
1510,117,AB,630485,5639,523679
1511,117,SK,154569,1941,113023
1512,117,MB,155300,2470,129338
1513,117,ON,1606398,16946,1585014
1514,117,QC,1326819,17822,1099129
1515,117,NL,54999,339,25162
1516,117,NB,90139,862,65138
1517,117,NS,141908,820,43018
1518,117,PE,56846,95,41242
1519,117,YT,4989,32,4489
1520,117,NT,11511,22,11327
1521,117,NU,3531,7,3435
1522,118,BC,398510,5371,307963
1523,118,AB,630862,5652,523679
1524,118,SK,154812,1950,113023
1525,118,MB,155421,2470,129338
1526,118,ON,1609159,16988,1587978
1527,118,QC,1329345,17860,1099129
1528,118,NL,55074,339,25162
1529,118,NB,90294,868,65138
1530,118,NS,142143,829,43018
1531,118,PE,56989,95,41242
1532,118,YT,4989,32,4489
1533,118,NT,11511,22,11327
1534,118,NU,3531,7,3435
1535,119,BC,398975,5411,307963
1536,119,AB,631206,5674,523679
1537,119,SK,154982,1956,113023
1538,119,MB,155553,2470,129338
1539,119,ON,1611310,17022,1587996
1540,119,QC,1331873,17895,1099129
1541,119,NL,55140,339,25162
1542,119,NB,90392,874,65138
1543,119,NS,142387,832,43018
1544,119,PE,57091,95,41242
1545,119,YT,4989,32,4489
